date,AAPL,MSFT,NVDA,GOOGL,AMZN,TSLA,JPM,XOM,JNJ,V,PG,005930.KS,000660.KS,035420.KS,GLD,IYR,EFA,EEM,IWM,SPY,AGG,TLT
2023-04-05,128.4262,229.8883,132.0776,86.4826,89.7956,122.261,131.9711,101.8602,164.0615,213.1251,132.9395,59015.219,82773.9525,215014.0345,167.32,82.2956,69.8806,40.5986,186.7531,376.2337,99.0625,93.2815
2023-04-06,125.856,230.6044,130.2529,85.623,89.721,120.1434,129.0816,101.7922,167.7657,215.5495,130.7844,58868.6247,83565.7885,213823.3007,165.3163,83.207,69.5329,40.557,187.105,373.7379,98.9593,91.9017
2023-04-07,125.9962,233.582,130.7816,84.6778,90.8584,116.9344,126.9309,101.3804,165.6195,211.1022,129.3374,57882.1312,81185.7512,205642.5003,163.8595,81.972,69.0554,40.3933,186.9067,369.7227,98.7958,92.0794
2023-04-10,128.2507,234.5846,128.765,84.8077,90.7537,111.3044,126.9607,100.7869,162.9336,210.3908,129.2275,57921.7176,81522.7996,209903.6534,164.2574,82.3398,69.454,39.8,185.947,368.3621,98.9339,92.8779
2023-04-11,129.3983,239.5948,128.0575,83.7031,88.9274,108.6423,127.6935,101.9435,163.5813,210.8594,132.3376,58529.2155,82629.1538,205759.2276,162.4278,82.4723,69.3936,40.4475,186.9733,370.4527,99.2309,92.2859
2023-04-12,131.6466,239.2226,126.4108,84.087,90.3028,106.2935,128.8698,100.218,162.0689,208.0917,133.107,56952.2285,80942.4911,203938.688,161.7065,83.3413,69.012,40.9063,184.214,369.6917,99.2142,92.1801
2023-04-13,134.0749,242.2044,127.8068,82.8091,94.5731,107.4894,128.7645,99.3347,163.9063,206.6686,134.2732,57847.4491,81584.6222,206852.4596,162.5691,82.84,69.4559,41.2169,188.1867,373.6891,99.0208,91.9266
2023-04-14,137.3071,245.9173,122.5549,84.3372,95.0587,104.142,128.2499,101.5253,164.9271,204.8191,130.9733,56757.9448,81567.3543,204420.4934,161.6154,82.5067,69.2562,41.0088,189.5273,373.0762,99.3072,92.7471
2023-04-17,137.6072,247.7247,116.964,85.3258,93.6818,110.2755,127.9712,100.9922,163.4326,207.1722,128.9821,58471.6523,80272.1241,211376.0927,160.8445,82.5306,68.9316,41.2905,188.3806,373.3591,99.0562,93.7292
2023-04-18,137.62,255.9474,116.7087,86.192,94.6025,107.133,128.78,103.8681,165.6136,208.4258,130.6114,60255.7266,79383.572,215566.5684,159.0416,82.9282,70.3693,41.5421,190.7508,379.7804,99.1668,93.704
2023-04-19,141.0225,259.6425,118.6521,87.7851,95.0578,104.4473,126.7256,103.2909,165.2768,210.1081,130.3191,60030.0856,79630.1821,221249.0696,160.3122,81.3202,70.7537,40.6244,194.6394,382.1942,98.9143,94.9475
2023-04-20,140.1044,264.2833,115.3997,87.2182,94.6897,101.3391,125.0434,99.3078,165.1187,209.9889,129.2388,59431.1761,78631.4152,220822.4482,161.3476,81.8965,71.4622,40.4965,193.6078,380.3213,98.6331,94.9891
2023-04-21,138.2294,270.6957,113.6716,87.5448,95.996,102.5204,125.9819,100.0479,164.1635,210.8512,129.9627,59205.9748,79597.026,221534.1132,160.9956,82.4237,71.7359,40.3693,194.5798,379.7666,98.6174,95.9703
2023-04-24,138.1272,270.1815,122.9275,88.8894,97.3825,98.8243,124.4964,98.5797,164.4345,207.5145,131.5707,59026.4285,80187.6043,227558.1331,162.059,82.0532,71.8658,40.186,197.4007,382.1616,99.1149,95.8773
2023-04-25,138.6672,281.6457,131.193,91.1801,96.7071,102.8503,128.1415,98.7781,166.7461,209.8675,133.391,59817.5066,82834.0832,233697.7527,161.3275,83.2597,73.6613,40.7117,201.9347,390.3581,98.8441,95.3145
2023-04-26,138.0703,282.3861,129.6222,90.9819,95.9694,99.5615,128.9295,99.9741,168.5529,205.5553,133.414,58701.2491,78599.703,230656.9493,159.6754,83.7552,73.2204,40.3721,200.7597,389.4266,98.949,95.764
2023-04-27,136.0714,283.3383,126.8507,91.4663,95.4773,96.5975,128.4116,97.4442,167.6327,205.9399,131.2845,60062.953,76352.9304,226185.1595,157.6735,84.2286,73.4255,40.2337,201.6546,388.6057,98.7807,94.9259
2023-04-28,140.1579,286.3935,133.6186,92.3148,99.1721,99.4535,130.1375,97.8439,169.7174,209.117,131.6647,61071.1893,77809.0949,235713.2667,158.6128,86.146,74.8438,41.0169,207.5346,392.9951,99.0434,92.7873
2023-05-01,139.9265,286.0855,128.5883,91.109,97.2957,100.3227,128.7783,98.9575,171.1119,209.5398,132.0245,60434.1344,77944.0205,235113.3544,157.4534,85.8228,75.0978,41.0416,203.6464,389.4761,98.2114,93.3914
2023-05-02,136.8781,282.1671,131.4678,89.8964,95.099,102.9021,128.4134,101.9636,169.5463,210.4108,131.6153,61358.79,75253.3206,236076.1875,158.0335,85.4607,74.5023,40.6527,205.0997,388.4547,99.0793,92.833
2023-05-03,135.9509,283.0247,135.5588,88.9311,95.7408,100.6196,131.51,101.1438,172.0298,214.4184,130.5528,61552.4033,75649.0145,240976.4738,157.7843,85.0548,75.0888,40.641,204.6714,392.3389,98.7447,92.8939
2023-05-04,136.0543,282.8439,141.5933,91.2141,96.7864,104.7835,133.8613,101.9114,172.089,217.5634,128.3258,64908.0429,78273.0867,249206.3932,159.2771,85.4745,75.5678,41.5628,205.5406,394.9816,98.5352,93.1622
2023-05-05,133.2632,284.2919,139.2057,92.2034,94.4715,108.2639,135.3593,100.9673,172.6544,218.5966,127.9959,64237.5089,76375.6894,250969.6152,159.6414,85.3564,75.5026,41.4938,202.3075,395.5659,98.053,92.5374
2023-05-08,134.2177,289.4675,143.9992,91.4399,96.6909,110.5202,136.6885,103.5283,174.0011,221.739,128.982,66407.568,74360.0672,248040.763,158.2559,86.8907,75.5911,41.6935,204.0015,398.6133,98.4065,91.8033
2023-05-09,129.9656,283.1792,129.9257,89.1886,93.1597,106.6091,132.5776,100.4925,170.68,214.6548,126.4852,63537.718,71467.2233,235566.7065,156.0867,84.1353,74.313,40.9379,199.3732,386.9143,98.1322,92.2859
2023-05-10,130.4094,287.7711,131.9172,90.4569,95.4227,108.5392,134.3722,103.5031,173.9314,217.0735,126.8698,63558.8866,74709.3432,238062.8543,155.9664,84.5537,73.5553,41.1851,201.6026,391.3642,97.9851,92.2094
2023-05-11,128.2553,283.33,132.534,87.3435,95.1758,106.1639,131.3517,100.7595,174.852,213.3374,126.72,62657.2337,74219.9999,229273.6601,157.265,84.9524,74.0556,41.7367,200.5452,387.5558,98.0141,92.467
2023-05-12,126.6549,273.4453,130.0329,85.0381,93.8978,105.8355,127.9749,100.7086,173.3122,209.0978,125.191,63086.6849,73538.0369,229775.4246,157.209,85.0378,74.0727,42.317,195.0571,380.8817,97.8505,91.3936
2023-05-15,129.2829,275.7432,124.9474,85.254,96.0491,111.9077,128.4635,103.3637,173.4941,209.9584,125.2191,62894.8723,75430.2187,236683.8791,159.1702,84.8976,74.8785,42.2557,196.7298,382.2013,98.0823,91.3039
2023-05-16,132.7235,278.594,128.6471,87.6943,99.1335,112.3196,127.1172,105.0792,174.2716,213.9976,124.9795,63834.471,75428.2069,229458.0169,160.8456,86.1038,75.815,43.1827,199.2508,385.2714,98.381,91.0833
2023-05-17,132.1991,278.6057,128.6711,88.4642,98.033,112.6397,126.5457,104.7803,174.6387,212.8581,123.9596,61356.5207,75077.9315,226436.2545,160.3742,84.8206,74.9293,43.6852,197.8574,383.6317,98.4141,91.0542
2023-05-18,131.9888,279.8335,125.4698,88.8079,96.6302,113.7519,124.9715,103.1228,174.3389,212.1632,123.8154,59263.889,72734.5773,219968.4722,159.5465,85.7548,74.553,42.7606,195.4589,379.4239,98.0478,89.4945
2023-05-19,130.9898,279.6977,123.18,89.2332,98.0559,108.9665,124.7829,101.0571,172.2135,212.4161,124.4044,59357.3215,73129.78,230429.2679,159.0033,85.0428,76.7023,42.4959,192.6795,379.7192,97.7276,89.5935
2023-05-22,131.6402,279.2646,122.0203,90.2965,98.2072,114.4893,124.5471,102.5837,173.1615,214.984,124.1484,58899.9754,73272.2348,227353.7435,158.8628,85.6343,76.1487,43.676,190.9674,379.6939,96.8344,88.9714
2023-05-23,132.3833,277.08,123.6636,90.5036,99.131,118.6361,125.5391,105.3196,175.3288,219.1533,123.5156,60670.8063,74968.1959,236634.1075,159.5233,86.2471,77.8611,44.5947,192.698,385.6446,97.8087,89.2073
2023-05-24,134.7664,281.3095,128.2391,91.9635,100.1997,125.6929,129.1915,106.5658,175.5152,219.6979,124.3781,61097.7828,75133.9145,247080.1785,159.9774,84.9402,77.951,44.6882,196.4066,388.9374,98.0004,90.2683
2023-05-25,133.2222,282.0827,129.9796,93.017,99.2729,125.0171,126.9494,104.6598,174.4895,222.1294,125.3253,62047.0628,76422.8312,247525.94,158.5461,84.459,76.958,44.3853,196.8669,389.9397,98.3679,90.1041
2023-05-26,133.515,283.637,136.1949,92.843,99.9704,124.0595,127.462,104.1281,172.9923,225.0743,126.7462,62644.2727,76440.3888,251530.5153,158.8175,86.9337,77.3506,44.5368,199.3587,394.8061,98.3932,89.9471
2023-05-29,133.2863,284.4773,137.6541,92.9917,95.1143,123.0855,124.8997,103.7551,173.2361,224.5455,127.37,61488.8015,77120.2264,257118.4391,158.6069,87.034,77.9635,44.3977,200.3229,394.1345,98.5674,89.8275
2023-05-30,132.839,278.876,130.7682,93.7973,94.2057,122.2924,124.0751,105.8332,171.2334,226.284,126.8338,62127.3137,78568.4552,243234.4424,159.6619,85.2749,77.0817,44.6926,202.9612,390.4402,98.8672,89.3218
2023-05-31,131.5979,279.3841,132.553,96.6044,97.3425,120.0685,125.9317,109.5354,171.1283,227.5937,126.9574,61237.3391,78462.1286,242488.8027,158.1291,84.5108,77.7951,45.4419,207.3702,393.0857,99.1688,89.6999
2023-06-01,131.7481,287.34,140.9759,98.9094,99.0542,124.7949,128.9645,111.7677,175.6217,227.58,127.8943,60144.4164,79628.1952,242335.3487,160.3049,85.19,78.4145,45.9929,211.303,395.7428,99.5853,90.7897
2023-06-02,131.7292,289.2701,136.446,97.9723,99.7514,125.4212,127.6841,109.1257,173.098,222.8763,128.4354,60299.6533,77776.0746,233832.0981,160.4989,85.1222,79.0184,46.1127,208.9435,395.0301,99.1844,90.2062
2023-06-05,130.9992,289.9464,134.9575,97.1466,99.0483,119.7834,127.4421,104.9905,169.3008,218.4415,128.6257,59232.6068,76385.1434,226306.3754,159.9719,84.8213,78.425,45.3229,208.784,391.9276,99.6608,90.4568
2023-06-06,130.1577,293.2975,132.8579,96.8992,98.3179,122.0951,126.5414,105.2235,170.5795,220.7516,127.8927,58845.6359,77791.0834,227056.0133,159.7073,84.8069,78.9034,44.8755,206.9522,393.0864,99.4988,90.0639
2023-06-07,126.7259,287.6999,123.3769,95.7955,95.9813,116.4516,123.1434,103.8929,165.3864,209.7057,124.5549,56849.8475,73929.6839,220707.0805,158.6101,83.6676,77.8368,44.8539,202.9865,382.9178,100.0798,89.7362
2023-06-08,127.428,290.7877,125.5573,95.6637,96.9105,118.0492,124.7936,107.2052,165.1593,212.9616,125.3684,57987.3713,73549.3761,212623.8624,159.2449,84.3148,78.4598,44.6833,200.3096,385.9505,100.3864,88.8458
2023-06-09,130.3658,299.7797,129.4315,95.1054,97.3526,117.6851,123.514,106.0949,165.5679,211.7066,126.035,57059.2678,71254.4795,215103.5044,160.8011,84.4695,79.067,44.255,202.0031,388.1801,99.8852,87.8491
2023-06-12,128.8704,294.5817,127.2706,91.808,95.7302,111.9689,121.1449,106.5484,162.4963,206.5177,125.3718,54784.0592,68548.057,214357.8204,161.2058,81.7747,77.4567,43.99,193.9649,381.6169,100.3063,88.1899
2023-06-13,127.0731,297.3937,128.633,92.1733,95.0834,108.0301,120.3858,105.9901,164.1327,208.482,125.9801,54490.5666,69831.332,216576.7213,161.6354,81.5495,77.1057,44.1567,194.7775,382.058,100.7924,88.4505
2023-06-14,122.5718,293.9411,128.8054,91.7831,94.1458,106.7129,119.5633,106.0812,163.12,203.502,123.8754,52681.1448,70420.5187,212398.7263,162.9596,81.1851,77.2659,43.6391,191.6913,378.3222,101.1661,89.0497
2023-06-15,123.8766,295.61,125.5976,91.9872,95.9261,108.3749,121.4346,105.7067,163.9413,203.7734,123.7101,53052.5684,72090.3624,207478.5576,165.4722,82.4425,78.5111,44.3846,194.963,381.5925,101.7772,89.0851
2023-06-16,122.7966,282.1441,122.6479,89.3143,94.8484,106.3104,117.0715,103.1233,160.8548,198.5302,123.1992,52344.0514,68708.1078,200824.9523,167.0623,82.6624,78.091,44.5526,190.9358,373.5559,102.6818,88.3257
2023-06-19,121.8531,274.0671,121.3366,88.3469,93.9874,102.474,115.7581,101.3266,158.395,196.5195,122.2213,52964.0059,67635.0659,197491.3009,164.1294,82.3308,78.3025,44.4248,186.7896,370.0998,103.5723,88.4921
2023-06-20,124.2142,281.0201,122.362,90.5137,95.9277,105.2713,114.9366,101.4796,158.5895,199.8348,122.4893,52852.6317,69432.5161,197500.8122,164.6025,84.1936,78.9239,43.7624,186.2762,373.1087,103.4509,88.374
2023-06-21,125.2529,289.3727,125.0467,90.324,97.5966,110.3504,113.5951,100.7513,162.2169,205.3274,124.6381,52378.2551,71375.6493,195978.5745,165.3669,85.0242,79.2894,43.8145,186.9781,377.9462,103.4061,87.8729
2023-06-22,120.347,281.6637,117.0198,88.3141,92.1095,102.6507,109.7706,97.6406,159.9167,198.4752,124.1648,50788.2038,69883.1878,190607.661,165.5285,85.0027,79.0823,42.7136,184.1564,369.496,103.2576,87.4799
2023-06-23,120.8034,280.3444,118.9045,88.1545,89.1551,102.5015,108.4126,97.575,160.0909,195.7977,123.4043,51498.5432,70944.2076,185743.2288,166.1246,85.0322,79.295,42.8853,182.7875,367.7137,103.3003,86.8606
2023-06-26,121.4887,283.4618,117.3609,88.9474,89.2994,110.4926,107.3961,95.8149,160.9224,200.9975,123.9235,51953.288,69837.2326,181545.6812,168.8118,85.8581,79.6812,42.3802,184.1086,369.1916,102.823,86.4981
2023-06-27,121.7016,278.9587,111.6861,89.7641,87.2963,107.7346,105.4569,94.6963,158.932,201.39,122.8771,53292.4907,69881.3759,183236.4632,169.4858,84.4291,79.3059,42.9354,181.5214,366.9736,102.4844,86.2624
2023-06-28,122.0448,289.4518,115.1648,92.2913,89.7774,109.7601,108.5585,94.9062,161.3648,208.1238,124.2786,53794.3408,72059.1028,184200.4433,169.8741,84.9766,80.3532,43.3647,184.4191,373.4642,102.6599,87.552
2023-06-29,120.7344,282.9153,110.6479,91.5151,86.8884,107.441,107.2743,93.5399,159.349,209.6673,122.2795,53232.414,69617.5737,177967.6313,169.8628,85.2408,78.8609,42.3034,183.8983,368.914,102.2901,87.9144
2023-06-30,120.4314,282.1617,111.0735,93.5384,86.8065,106.4296,108.7942,95.513,157.0879,210.636,120.8869,54861.5813,69173.2133,180077.3777,167.8432,86.3732,78.3565,42.4028,183.3235,370.5019,102.4538,87.7338
2023-07-03,120.2093,271.2659,112.5315,93.8333,85.0597,107.3975,109.1202,93.5484,153.4421,207.3688,121.8262,53913.2219,70272.1792,177947.2803,166.0773,86.4535,77.7949,42.6165,184.0389,366.5479,102.1847,86.9014
2023-07-04,121.4254,280.1475,115.2372,95.688,85.7105,109.8065,110.8739,97.0182,155.4655,211.8522,123.6881,54241.6392,72314.0713,177498.5764,163.9786,87.0066,77.4306,43.0642,189.2672,372.294,102.7825,86.105
2023-07-05,120.625,280.5365,115.3297,96.0402,85.0271,109.4415,113.7294,94.1208,157.9567,212.8101,122.8157,54497.5254,70593.7311,176447.4535,166.4943,86.3209,77.6413,43.0958,188.7818,372.3932,103.4003,86.5968
2023-07-06,119.3794,284.4878,120.6372,94.4674,84.6323,106.1712,113.7765,92.4358,158.3939,215.3029,123.1239,54688.144,70114.6721,178795.1563,166.8061,85.6084,76.9673,42.6105,186.7674,371.0965,103.6431,85.9009
2023-07-07,118.8816,276.5743,112.4238,92.9937,82.9715,104.8229,111.8961,92.1578,158.2088,213.1421,119.8019,54187.9234,68469.136,172229.4237,165.2242,84.3851,75.9487,42.601,184.3546,364.5123,103.1766,85.9186
2023-07-10,121.3266,282.969,117.1953,93.9389,84.1423,107.625,112.9357,89.8114,158.0386,221.3933,120.8525,55074.1967,69664.2993,176099.1583,165.0653,85.6594,77.207,42.6894,183.7635,371.3218,103.1162,86.0688
2023-07-11,121.3849,285.8064,122.1922,93.5679,85.1669,107.7002,113.4236,89.9568,154.5599,219.803,122.4462,55857.0802,71707.8315,181560.9393,165.3439,85.3519,76.9225,43.3387,183.5444,374.5139,102.5554,85.0109
2023-07-12,121.0718,289.0508,128.4728,94.1351,86.6413,108.0701,114.7362,91.088,157.5793,218.0785,123.6915,56494.0609,73772.1025,184438.6241,164.7961,85.688,77.6508,43.3579,186.7368,377.7365,102.3167,85.4372
2023-07-13,121.2623,299.3917,138.5537,93.5129,87.6741,115.755,116.2083,89.8175,159.8862,219.4566,124.5758,56586.0961,77101.7319,190199.3367,166.7798,85.8623,78.028,44.0303,192.1661,382.5582,103.0598,84.6244
2023-07-14,123.9411,308.0685,137.1428,93.0068,87.2556,116.4591,116.9149,92.1768,157.8075,218.0143,124.7764,57442.9791,75814.5223,185853.8418,167.5101,83.6331,78.7536,44.534,191.5101,384.1829,103.7339,83.8702
2023-07-17,120.541,310.698,137.1384,91.9253,85.7887,116.1423,116.5455,94.4347,157.4326,217.1595,124.6883,58087.2742,76698.5354,183928.5197,169.0246,82.1025,79.1641,44.6033,188.355,381.7521,103.5607,82.7176
2023-07-18,118.3454,307.0118,134.3934,91.5934,84.408,119.4023,113.9979,93.9277,156.5328,214.4005,126.3832,58925.3933,74558.957,189462.8123,168.0985,81.6622,80.1435,43.655,187.3191,378.6831,103.9183,83.0436
2023-07-19,118.2302,307.5168,130.5768,90.571,82.9874,117.395,112.1452,93.3652,155.4982,215.5914,125.5049,57883.6207,75372.4518,189247.4728,166.3985,80.8862,80.8575,42.5694,184.9477,375.639,104.4123,82.3092
2023-07-20,121.859,316.8845,131.7727,92.4252,84.5449,123.824,113.2942,95.6173,155.17,218.6733,126.6215,57923.3591,77924.2259,196961.6504,166.2705,82.0536,81.7197,42.6619,189.5376,381.381,104.8399,82.0788
2023-07-21,119.7164,314.0251,123.2923,92.7653,86.2002,117.0451,110.9639,96.0191,154.2806,216.8934,126.6038,56230.0549,79227.4478,193501.0026,166.1135,78.9484,79.9716,41.857,184.2174,375.65,105.1082,81.0389
2023-07-24,120.0869,314.1684,122.5931,93.1438,86.9391,118.2135,108.7797,94.9089,154.5934,214.846,125.4283,55330.564,80156.3427,194024.5628,167.2909,78.9517,80.1711,41.991,183.3105,373.4446,105.0595,81.1702
2023-07-25,120.8024,314.9644,123.8273,91.6798,86.674,110.1449,108.2995,94.0806,152.3438,214.3668,126.8597,53852.7628,79803.2374,196243.9154,164.5967,78.1583,81.2354,41.9082,181.374,372.3476,104.8487,80.9152
2023-07-26,122.6096,313.0665,121.0847,90.113,87.6786,111.0793,107.5726,97.3912,152.9469,214.1995,125.103,53850.419,80843.2056,201688.8095,166.0846,78.0199,81.2474,42.2028,182.4024,373.4303,104.7824,80.6379
2023-07-27,123.5793,316.1498,124.597,89.7921,89.0782,110.7168,109.2853,98.2472,151.3588,213.6136,125.2812,55982.5653,83031.5017,202831.285,166.2091,77.1814,81.2909,42.1213,185.7905,375.9255,104.5517,81.7022
2023-07-28,124.2951,317.4775,119.6725,87.7659,89.298,105.9885,106.9677,97.059,151.0518,211.9385,124.1623,55148.6567,79110.6294,204809.4367,166.5956,76.987,80.1419,41.3115,185.5734,371.1152,104.7191,81.8034
2023-07-31,122.2528,308.6125,112.5639,84.2687,89.1828,106.3252,105.2717,94.4585,149.1313,205.1472,123.142,54397.3206,75913.9565,198197.2256,167.9499,75.8112,79.6074,40.8738,182.7277,364.4845,104.378,81.2542
2023-08-01,124.5725,309.1582,105.5226,82.6658,88.0516,108.7487,103.1415,90.1659,150.2397,204.3751,121.9214,53805.1695,76337.8469,193477.1936,167.1483,76.5809,79.7992,41.2975,183.5657,364.6489,104.2215,81.3541
2023-08-02,124.8203,316.3275,110.9261,82.1568,92.2579,114.0225,104.2466,90.8477,151.8475,205.483,122.3045,54426.7167,78559.1717,192060.5237,167.302,76.2187,80.0909,41.6733,189.1551,369.603,103.8058,82.4558
2023-08-03,127.4252,314.7101,114.454,82.3001,92.1003,120.9783,106.091,91.5083,150.2399,209.2203,123.0934,54687.0743,80513.5042,193813.5098,168.1931,76.8105,79.2818,41.4061,188.3692,372.7973,103.9877,81.7522
2023-08-04,126.0017,315.2928,113.9387,83.9076,92.5334,123.4109,106.3379,91.586,148.9232,209.1231,122.461,55128.5245,79049.2975,193213.8652,167.9336,77.5207,79.0614,41.8057,188.7184,373.8455,103.9606,81.7004
2023-08-07,123.4874,308.9526,111.9948,85.3314,91.1832,124.9199,106.6412,91.1005,148.6507,205.3131,123.2159,55143.9565,80875.1401,188772.968,166.2341,78.4026,78.7268,41.6168,191.2227,372.7635,103.3423,81.6572
2023-08-08,124.7593,308.2647,109.0453,84.6286,89.456,125.3224,107.1485,92.5281,149.5858,205.6465,121.4825,54445.8544,81247.2281,188624.8623,167.1971,79.4819,79.2633,41.2343,191.2281,374.1223,103.3645,81.0237
2023-08-09,123.3445,303.2265,109.7106,83.9892,87.0749,132.214,106.5051,92.7984,150.8965,205.9548,121.2414,55241.5589,82017.6959,188838.7391,166.9753,79.7667,79.0203,41.2843,190.8291,373.3346,102.4943,80.5475
2023-08-10,125.2947,303.3539,111.2399,83.4153,90.4792,137.807,107.9114,93.7183,149.9453,208.4054,123.3601,57079.6935,83759.038,193639.5143,166.6624,80.5352,79.5092,41.4488,190.6643,376.8039,102.9853,81.0223
2023-08-11,122.7492,299.475,110.73,81.1787,91.5259,132.7054,107.4213,92.8779,148.9703,208.6815,122.018,56247.6085,82031.6643,193333.9763,167.4283,79.2559,78.8367,41.3228,190.4064,373.7979,102.8882,80.8032
2023-08-14,125.4124,299.3157,111.3651,81.2338,90.5155,129.5174,107.9507,92.4941,152.2079,210.5141,122.225,56207.6443,80558.5962,188805.5918,166.6598,78.2177,78.6456,42.3648,190.3696,374.5222,103.449,80.4244
2023-08-15,125.4124,298.5834,107.2729,81.1813,89.0839,126.3437,107.1441,92.6029,152.1654,211.3675,121.8529,55959.6012,83759.7842,187081.7193,168.8615,79.6909,78.7405,43.3721,192.4081,374.2646,104.5449,81.365
2023-08-16,124.6833,293.1279,104.3507,81.0537,91.6405,124.6619,107.177,92.0035,151.3157,215.1768,121.6583,56735.562,84601.3408,191976.4017,170.4021,81.2272,79.4363,43.5417,193.6816,376.6363,104.3927,81.8237
2023-08-17,125.4132,299.0488,105.7652,81.8314,90.7638,130.1734,104.445,93.8856,149.0642,215.0519,122.4864,58268.5849,88010.3174,196799.4479,172.7459,81.0264,78.8867,44.0709,193.401,377.7316,103.9839,81.8921
2023-08-18,130.6337,306.8488,106.8599,83.7561,94.3832,137.279,107.3093,96.2539,151.8312,221.1638,122.7038,59334.2778,88900.657,198390.5721,172.1676,81.1062,79.0464,44.4579,197.354,388.3824,104.225,80.5879
2023-08-21,131.8699,308.5967,110.7915,86.1676,99.0111,145.5128,107.7885,97.4437,154.3534,224.6393,124.1484,59573.4248,89436.584,201466.1991,172.4759,83.0097,80.1807,43.9034,198.4566,394.8625,104.7757,80.5339
2023-08-22,135.1365,311.8712,116.6358,87.0285,102.0472,145.8581,108.5955,101.8843,154.5837,228.599,123.6747,62996.8014,89695.7737,201960.5068,172.3304,84.6637,80.9415,44.465,202.5929,401.4425,104.1278,79.953
2023-08-23,135.3855,306.2788,108.3478,85.9655,101.6588,137.4823,107.13,101.5841,153.8228,225.6868,122.2746,62665.5712,89370.8618,195481.8974,171.5037,83.1646,80.825,44.1685,195.0934,392.9654,104.7145,79.6668
2023-08-24,136.4109,302.211,109.2563,85.4228,101.6385,141.8309,106.8904,99.5081,154.9832,224.5329,122.8933,63548.9067,88915.5059,193336.5508,170.2491,83.0887,81.2541,43.5406,194.2376,391.731,104.6152,79.6402
2023-08-25,135.6248,299.1664,107.9275,84.958,98.6166,131.9363,106.57,97.7235,156.3516,222.9759,122.0065,62579.0639,86719.8338,193208.4166,169.9726,82.7035,81.3699,43.5515,192.3043,389.3801,105.2051,79.8051
2023-08-28,135.7292,299.6776,110.4435,86.0276,98.2519,128.3197,106.3237,98.0422,157.7514,224.2495,122.3922,63772.9841,88876.1296,194568.2632,169.9996,83.8597,81.5883,43.6634,193.7299,391.803,105.2473,79.5477
2023-08-29,133.3038,294.2413,103.745,82.6329,93.249,115.5802,104.2657,95.5647,155.2413,215.4889,123.3414,63563.6136,84705.121,188318.1782,168.6698,82.4759,81.1224,42.2752,190.4611,382.5469,105.1787,79.9764
